,bw,loglambda,contam_data,IFsupnorm_ML,IFsupnorm_SM
28,9.0,-8.0,145.0,154.69412312591933,50.477803954198315
29,9.0,-8.0,150.0,156.07639695656417,51.18747946672886
30,9.0,-8.0,155.0,156.84408483336475,51.87030616406274
31,9.0,-8.0,160.0,157.24501370936395,52.52641410827891
32,9.0,-8.0,165.0,157.4428556867531,53.15231981540824
33,9.0,-8.0,170.0,157.5339227363024,53.74902536851628
34,9.0,-8.0,175.0,157.5745010800489,54.31798339195165
35,9.0,-8.0,180.0,157.59165334608127,54.860790716658116
36,9.0,-8.0,185.0,157.59897601816775,55.37902054878807
37,9.0,-8.0,190.0,157.60144626282369,55.87414902815851
38,9.0,-8.0,195.0,157.60280133117277,56.34753150457444
39,9.0,-8.0,200.0,157.6026035028093,56.80040144535708
40,9.0,-8.0,205.0,157.6032476593383,57.23387829764642
41,9.0,-8.0,210.0,157.6025403375212,57.648978343826705
42,9.0,-8.0,215.0,157.60329351657987,58.046625553163864
43,9.0,-8.0,220.0,157.60238645954772,58.42766168332675
44,9.0,-8.0,225.0,157.60329233605574,58.79285532405515
45,9.0,-8.0,230.0,157.60257747967898,59.14448983633702
46,9.0,-8.0,235.0,157.60326790417167,59.48381277707259
47,9.0,-8.0,240.0,157.60274593886692,59.80950646213445
48,9.0,-8.0,245.0,157.60322100117463,60.12209767260767
49,9.0,-8.0,250.0,157.60289193566734,60.42207263222876
50,9.0,-8.0,255.0,157.6031516363443,60.714293054089595
51,9.0,-8.0,260.0,157.60301547100397,60.99528697834272
52,9.0,-8.0,265.0,157.6030598054885,61.26511072844176
53,9.0,-8.0,270.0,157.60311650870307,61.52517918245637
54,9.0,-8.0,275.0,157.60294597227187,61.779157711275566
55,9.0,-8.0,280.0,157.6031678410743,62.023095796191086
56,9.0,-8.0,285.0,157.60050149255278,62.25726410217219
57,9.0,-8.0,290.0,157.54232443797633,62.486941258338476
58,9.0,-8.0,295.0,156.8514807427519,62.70838667344458
59,9.0,-8.0,300.0,152.75189341621598,62.92090005746659
0,9.0,-10.0,5.0,137.26602851445335,5248.51131476906
1,9.0,-10.0,10.0,151.09049217672776,2435.097060769171
2,9.0,-10.0,15.0,157.93276997867878,1500.9146539086028
3,9.0,-10.0,20.0,151.51740646346923,1022.8241776438251
4,9.0,-10.0,25.0,136.86671551848838,705.9198735224146
5,9.0,-10.0,30.0,113.38507031577016,524.7859751752122
6,9.0,-10.0,35.0,83.14822462915572,600.8328980756295
7,9.0,-10.0,40.0,51.87234814988351,651.662956124297
8,9.0,-10.0,45.0,26.406215717605264,136.14084751789778
9,9.0,-10.0,50.0,5.418012381555037,28.96219787869958
10,9.0,-10.0,55.0,4.26681802824902,13.498420886702167
11,9.0,-10.0,60.0,4.244265005734604,10.118179372596181
12,9.0,-10.0,65.0,4.631995663338273,9.442664078766372
13,9.0,-10.0,70.0,3.993685535949254,8.303737870129169
14,9.0,-10.0,75.0,2.6064354430208603,5.433916770676284
15,9.0,-10.0,80.0,2.4849030048050835,5.121711131208961
16,9.0,-10.0,85.0,2.782585017405026,9.010359386336653
17,9.0,-10.0,90.0,6.452755738119542,13.003792166097483
18,9.0,-10.0,95.0,18.407960103917098,38.12707551804895
19,9.0,-10.0,100.0,38.43954298982233,253.99227406026446
20,9.0,-10.0,105.0,63.07410474037667,331.4840211925225
21,9.0,-10.0,110.0,87.68026355997272,277.6874873230639
22,9.0,-10.0,115.0,108.79610859326228,318.7558596386064
23,9.0,-10.0,120.0,128.5877235407664,311.03519793419343
